receiver_player_name,headshot
Ro.Anderson,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2574808.png&w=350&h=254
L.Bell,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15825.png&w=350&h=254
T.Montgomery,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2577134.png&w=350&h=254
B.Berrios,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3123075.png&w=350&h=254
R.Griffin,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15887.png&w=350&h=254
Q.Enunwa,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16899.png&w=350&h=254
J.Crowder,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/2576716.png&w=350&h=254
J.Bellamy,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15555.png&w=350&h=254
D.Thomas,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13216.png&w=350&h=254
